 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | dmu_wCCSR3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.526342 / -0.510239 | 0.526342 / -0.510239 | 0 / 0 | 0 / 0 |
 | dmu_biasCCSR3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.753094 / -0.968715 | 0 / 0 |
 | gamma_stat_CCSR3_run3_bin_0 | 0 / 0 | 3.00675e-07 / -3.00675e-07 | 2.85901e-05 / -2.85901e-05 | 3.43123e-06 / -3.43123e-06 | 3.0719e-07 / -3.0719e-07 | 2.96739e-07 / -2.96739e-07 | 0.000442891 / -0.000442891 | 0.00123715 / -0.00123715 | 0.00252414 / -0.00252414 | 0.00424617 / -0.00424617 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR3_run3_bin_1 | 0 / 0 | 4.44219e-07 / -4.44219e-07 | 0.00031352 / -0.00031352 | 0.135463 / -0.135463 | 4.53844e-07 / -4.53844e-07 | 4.38405e-07 / -4.38405e-07 | 0.00134947 / -0.00134947 | 0.000365609 / -0.000365609 | 0.0171163 / -0.0171163 | 0.00518406 / -0.00518406 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR3_run3_bin_2 | 0 / 0 | 0.00266694 / -0.00266694 | 0.000610558 / -0.000610558 | 4.38844e-06 / -4.38844e-06 | 3.92887e-07 / -3.92887e-07 | 3.79521e-07 / -3.79521e-07 | 0.00437246 / -0.00437246 | 0.000690461 / -0.000690461 | 0.0109653 / -0.0109653 | 0.00934672 / -0.00934672 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR3_run3_bin_3 | 0 / 0 | 0.00283411 / -0.00283411 | 0.000192496 / -0.000192496 | 2.56297e-06 / -2.56297e-06 | 2.29457e-07 / -2.29457e-07 | 2.21651e-07 / -2.21651e-07 | 0.0030043 / -0.0030043 | 0.00351145 / -0.00351145 | 0.00336092 / -0.00336092 | 0.0117701 / -0.0117701 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR3_run3_bin_4 | 0 / 0 | 0.00332277 / -0.00332277 | 0.000303815 / -0.000303815 | 1.97603e-06 / -1.97603e-06 | 1.76909e-07 / -1.76909e-07 | 1.70891e-07 / -1.70891e-07 | 0.00665335 / -0.00665335 | 0.00083962 / -0.00083962 | 0.00935915 / -0.00935915 | 0.0185866 / -0.0185866 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR3_run3_bin_5 | 0 / 0 | 0.000290238 / -0.000290238 | 0.000400023 / -0.000400023 | 1.71098e-06 / -1.71098e-06 | 1.5318e-07 / -1.5318e-07 | 1.47969e-07 / -1.47969e-07 | 0.010795 / -0.010795 | 0.00740246 / -0.00740246 | 0.00778313 / -0.00778313 | 0.0238381 / -0.0238381 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR3_run3_bin_6 | 0 / 0 | 0.00224967 / -0.00224967 | 0.000386593 / -0.000386593 | 1.55537e-06 / -1.55537e-06 | 1.39248e-07 / -1.39248e-07 | 1.34511e-07 / -1.34511e-07 | 0.0154879 / -0.0154879 | 0.0150254 / -0.0150254 | 0.00822211 / -0.00822211 | 0.0254979 / -0.0254979 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR3_run3_bin_7 | 0 / 0 | 0.00224056 / -0.00224056 | 0.00113434 / -0.00113434 | 1.59957e-06 / -1.59957e-06 | 1.43205e-07 / -1.43205e-07 | 0.00291039 / -0.00291039 | 0.0210687 / -0.0210687 | 0.0224155 / -0.0224155 | 0.00936809 / -0.00936809 | 0.0180181 / -0.0180181 | 0 / 0 | 0 / 0 |
