 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | gamma_stat_CCSR4_bin_6 | 0 / 0 | 0.00228442 / -0.00228442 | 0.000592977 / -0.000592977 | 0.00402499 / -0.00402499 | 7.06835e-08 / -7.06835e-08 | 3.35278e-08 / -3.35278e-08 | 0.011738 / -0.011738 | 0.00831207 / -0.00831207 | 0.00712445 / -0.00712445 | 0.0190156 / -0.0190156 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_7 | 0 / 0 | 0.0012762 / -0.0012762 | 0.00103243 / -0.00103243 | 0.00261339 / -0.00261339 | 0.00371675 / -0.00371675 | 0.00638285 / -0.00638285 | 0.0154046 / -0.0154046 | 0.0123882 / -0.0123882 | 0.00926616 / -0.00926616 | 0.017841 / -0.017841 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_8 | 0 / 0 | 0.00260306 / -0.00260306 | 0.00176016 / -0.00176016 | 0.0038857 / -0.0038857 | 0.00434259 / -0.00434259 | 0.00548608 / -0.00548608 | 0.0171468 / -0.0171468 | 0.0152986 / -0.0152986 | 0.00449836 / -0.00449836 | 0.0101179 / -0.0101179 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_9 | 0 / 0 | 0.00709476 / -0.00709476 | 0.00314519 / -0.00314519 | 0.00301904 / -0.00301904 | 0.00243005 / -0.00243005 | 4.06685e-08 / -4.06685e-08 | 0.0213417 / -0.0213417 | 0.015076 / -0.015076 | 0.0063767 / -0.0063767 | 0.00550036 / -0.00550036 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_10 | 0 / 0 | 0.00932409 / -0.00932409 | 0.00534131 / -0.00534131 | 0.014095 / -0.014095 | 0.0112715 / -0.0112715 | 4.66545e-08 / -4.66545e-08 | 0.0127648 / -0.0127648 | 0.00888112 / -0.00888112 | 0.00757754 / -0.00757754 | 0.00242616 / -0.00242616 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_11 | 0 / 0 | 0.0144706 / -0.0144706 | 0.00915465 / -0.00915465 | 0.00433594 / -0.00433594 | 0.0126149 / -0.0126149 | 4.56958e-08 / -4.56958e-08 | 0.00614246 / -0.00614246 | 0.00272931 / -0.00272931 | 0.00388888 / -0.00388888 | 0.000807196 / -0.000807196 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_12 | 0 / 0 | 0.0110139 / -0.0110139 | 0.0112852 / -0.0112852 | 0.0148252 / -0.0148252 | 0.0119452 / -0.0119452 | 0.015476 / -0.015476 | 0.00179151 / -0.00179151 | 0.00182339 / -0.00182339 | 0.00230678 / -0.00230678 | 0.000676508 / -0.000676508 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_13 | 0 / 0 | 0.013609 / -0.013609 | 0.0103466 / -0.0103466 | 0.00959903 / -0.00959903 | 0.00785849 / -0.00785849 | 2.67192e-08 / -2.67192e-08 | 0.000463154 / -0.000463154 | 0.00153436 / -0.00153436 | 0.00240434 / -0.00240434 | 0.000100784 / -0.000100784 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_14 | 0 / 0 | 0.0149051 / -0.0149051 | 0.0153268 / -0.0153268 | 0.0102555 / -0.0102555 | 0.02046 / -0.02046 | 0.0144285 / -0.0144285 | 0.000544959 / -0.000544959 | 0.00103036 / -0.00103036 | 0.0042827 / -0.0042827 | 0.000431111 / -0.000431111 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_15 | 0 / 0 | 0.00871827 / -0.00871827 | 0.0144742 / -0.0144742 | 0.00644317 / -0.00644317 | 0.0119681 / -0.0119681 | 3.28611e-08 / -3.28611e-08 | 0.000406508 / -0.000406508 | 0.00369812 / -0.00369812 | 0.00320813 / -0.00320813 | 0.000258596 / -0.000258596 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_16 | 0 / 0 | 0.00489062 / -0.00489062 | 0.0101178 / -0.0101178 | 0.00498599 / -0.00498599 | 0.00692448 / -0.00692448 | 0.00739556 / -0.00739556 | 0.000194116 / -0.000194116 | 0.000796683 / -0.000796683 | 0.00088169 / -0.00088169 | 0.000235995 / -0.000235995 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_17 | 0 / 0 | 0.00600237 / -0.00600237 | 0.0109014 / -0.0109014 | 0.0158761 / -0.0158761 | 0.0066064 / -0.0066064 | 5.44883e-08 / -5.44883e-08 | 0.000776436 / -0.000776436 | 0.00347362 / -0.00347362 | 0.00602771 / -0.00602771 | 6.14928e-05 / -6.14928e-05 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_18 | 0 / 0 | 0.00121287 / -0.00121287 | 0.00810747 / -0.00810747 | 0.00739642 / -0.00739642 | 1.78078e-07 / -1.78078e-07 | 0.0208858 / -0.0208858 | 0.00017935 / -0.00017935 | 0.0102772 / -0.0102772 | 0.00572992 / -0.00572992 | 0.000240477 / -0.000240477 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_19 | 0 / 0 | 2.54491e-07 / -2.54491e-07 | 0.00255577 / -0.00255577 | 4.0232e-06 / -4.0232e-06 | 0.00522705 / -0.00522705 | 8.44733e-08 / -8.44733e-08 | 0.000100582 / -0.000100582 | 0.00552246 / -0.00552246 | 0.00439778 / -0.00439778 | 0.00189662 / -0.00189662 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_20 | 0 / 0 | 3.79245e-07 / -3.79245e-07 | 0.00182924 / -0.00182924 | 5.99541e-06 / -5.99541e-06 | 2.65387e-07 / -2.65387e-07 | 1.25883e-07 / -1.25883e-07 | 0.00059655 / -0.00059655 | 0.00156416 / -0.00156416 | 0.00949298 / -0.00949298 | 0.000349269 / -0.000349269 | 0 / 0 | 0 / 0 |
